Story,ID,Prediction,Rationale
The Count of Monte Cristo,95,0,Noirtier learned of Villefort's intention to denounce him... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,136,0,He was limited to communication methods that could be kept s... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,59,0,Character returned to a mountain environment after escaping... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,60,0,Thalcave was physically capable of strenuous activity in 185... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,124,0,He was present on the Marseille quay.... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,111,0,Character knows how to leverage personal connections for pol... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,135,0,Character escaped from prison in 1800... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,27,0,Character worked as a porter at the docks... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,110,0,He has a significant personal past he is reflecting on.... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,42,0,Character accepted a lucrative berth on the British merchant... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,56,0,Character saved an entire party from an earthquake.... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,80,0,"Character began learning tactics, spear-craft, and jungle tr... contradicts narrative. Verification error - defaulting to consistent"
In Search of the Castaways,28,0,"Ayrton experienced ""legalised plunder"" for the first time.... contradicts narrative. Verification error - defaulting to consistent"
The Count of Monte Cristo,101,0,Character joined a radical republican cell at age 18... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,91,0,Character organized the assassination of royalist deputies... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,24,0,Character proposed a South-American trade route to the naval... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,119,0,"He wrote an essay titled ""On Ancient Mediterranean Routes"".... contradicts narrative. Verification error - defaulting to consistent"
The Count of Monte Cristo,93,0,Character created ciphered letters related to the Southern A... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,72,0,Character trained twelve individuals as spies... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,16,0,Character was born in Calcutta... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,30,0,Character became second mate of the Black Tide pirate crew... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,97,0,Character has conducted experiments on living prisoners... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,22,0,Character secretly helped anti-colonial groups.... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,53,0,Character sustained severe injuries from a fall off a cliff... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,58,0,He was educated by a mission priest.... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,81,0,Character personally boarded an enemy vessel at night... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,47,0,Character cannot easily trust colonists... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,7,0,Character led a scientific expedition... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,121,0,He acquired information that would later enable him to ident... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,129,0,Character learned to carve fish-bone pen-nibs.... contradicts narrative. The narrative evidence states that Luigi learned to carve 'all sorts of objects 
In Search of the Castaways,51,0,Thalcave cannot ignore the shepherd's dying wish without int... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,127,0,Character was imprisoned for twenty years... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,133,0,Character understands philosophical arguments regarding reli... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,52,0,Character spent three months taming Thaouka... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,114,0,Character entered Bologna University at age twelve... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,2,0,Character was punished by being made to stand... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,33,0,He volunteered for Captain Grant's crew... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,15,0,Character spent multiple years living in the Amazon region... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,82,1,No testable claims found in backstory
In Search of the Castaways,37,0,Tom Ayrton's father is named James Ayrton.... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,3,0,The character had a quarrel with his father.... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,103,0,Noirtier lived during Napoleon's rise to dictatorship.... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,94,0,Character suffers from hand tremors... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,85,0,Character heard about the missing captain's daughter... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,21,0,Character is currently serving on the HMS Austin... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,49,0,He lived entirely alone during his two years in the Andean b... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,140,0,Character has knowledge of clandestine operations or oppress... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,64,0,The rescue of the sailor occurred during a squall... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,131,0,Character was born in 1760... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,61,0,Character was a child when his sister Nawee was seized... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,86,0,The man and Glenarvan participated in a stand-off... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,38,0,Character has received repeated disciplinary actions... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,132,0,Character has expertise in natural philosophy... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,77,0,Twenty years passed between the rescue and his realization a... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,70,0,Character survived seven days and nights alone on a crater's... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,115,0,Character was a Jesuit novice... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,78,0,Character's mother was assassinated when he was five years o... contradicts narrative. Verification error - defaulting to consistent
The Count of Monte Cristo,87,0,Character's father was guillotined in 1792... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,75,0,Character believes volcanic eruptions are a form of divine p... contradicts narrative. Verification error - defaulting to consistent
In Search of the Castaways,44,0,Character committed an act of betrayal... contradicts narrative. The narrative evidence explicitly states that 'The discovery of Ayrton's treache
